code	month	species	Moraceae	Fagaceae	Sapotaceae	Fabaceae	Rubiaceae	Loganiaceae	Cannabaceae	Acanthaceae	Poaceae	Convolvulaceae	Malvaceae	Oleaceae	Combretaceae	Rosaceae	Apocynaceae	Phyllanthaceae	Sapindaceae	Lentibulariaceae	Araliaceae	Urticaceae	Euphorbiaceae	Lamiaceae	Lauraceae	Vitaceae	Opiliaceae	Cucurbitaceae	Rutaceae	Solanaceae	Asteraceae	Hylocomiaceae	Salicaceae	Rhamnaceae	Elaeocarpaceae	Menispermaceae	Symplocaceae	Pteridaceae	Icacinaceae	Theaceae	Platanaceae	Ebenaceae	Juglandaceae	Celastraceae	Ulmaceae	Betulaceae	Pentaphylacaceae	Amaranthaceae	Aquifoliaceae	Brassicaceae	Pinaceae	Loranthaceae	Pittosporaceae	Sabiaceae	Stilbaceae	Primulaceae	Polygonaceae	Ranunculaceae	Cactaceae	Scrophulariaceae	Anacardiaceae	Styracaceae	Meliaceae	Hyacinthaceae	Zamiaceae	Caryophyllaceae	Chenopodiaceae	Capparaceae	Plantaginaceae	Burseraceae	Apiaceae	Schisandraceae	Chlorellaceae	Myrtaceae	Melastomataceae	Arecaceae	Ginkgoaceae	Cycadaceae	Taxaceae	Proteaceae	Smilacaceae	Bignoniaceae	Actinidiaceae	Adoxaceae	Thymelaeaceae	Begoniaceae	Annonaceae	Aristolochiaceae	Musaceae	Calceolariaceae	Gentianaceae	Balsaminaceae	Clusiaceae	Lardizabalaceae	Chlorococcaceae	Caprifoliaceae	Ericaceae	Hypericaceae	Cladophoraceae	Aizoaceae	Portulacaceae	Santalaceae	Phytolaccaceae	Podocarpaceae	habitat	seasonal
1	vb_april	4	T.germaini	2950.42724609375	2.25930547714233	13.7817630767822	329.632690429687	130.136001586914	0.677791655063629	1.80744445323944	180.970382690429	8.58536148071289	14.2336244583129	540.199951171875	6.777916431427	627.635070800781	14.9114170074462	113.869003295898	378.207763671875	128.102630615234	64.3902053833007	0	4.74454164505004	125.843315124511	8.35943031311035	0.90372222661972	158.151397705078	0	5.87419414520263	18.9781665802001	25.0782928466796	26.4338760375976	6.55198621749877	0	0	14.0076942443847	0	0	6.55198621749877	0	0	0	23.7227096557617	0	0	12.200249671936	15.5892086029052	0	0	0	3.3889582157135	0	0.90372222661972	0	0	0	0	0.90372222661972	0	7.68163919448852	0	1.35558331012725	0	0	0	0	0	0	0	0	1.12965273857116	1.58151388168334	0	0	0	0.90372222661972	0.90372222661972	0	1.80744445323944	0	0	0	0	0	0	0	0	0	0	0	1.35558331012725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RF	Dry
2	vb_august	8	T.germaini	3185.52880859375	3.58183240890502	16.8857822418212	183.440979003906	143.017456054687	1.02338075637817	1.53507113456726	202.373550415039	11.0013427734375	18.676700592041	131.248580932617	6.90782022476196	710.226257324218	12.7922601699829	124.084922790527	437.751159667968	136.621337890625	69.0782012939453	0	6.65197467803955	158.112319946289	11.257188796997	0.76753556728363	171.672119140625	0	5.37274932861328	18.4208526611328	36.0741729736328	37.353401184082	6.14028453826904	0	2.04676151275634	17.1416282653808	0	0	6.90782022476196	0	0	0	29.6780433654785	0	0	19.1883888244628	13.3039493560791	0	0	0	1.53507113456726	1.27922594547271	1.7909163236618	0.511690378189086	0	0	0	0.76753556728363	0	4.34936809539794	0	0.76753556728363	0	0	0	1.02338075637817	0	0	0	0	1.27922594547271	1.7909163236618	0	0	0	1.53507113456726	1.02338075637817	0	2.55845189094543	0	0	0	0	0	0	0	0	0	0	0	0.511690378189086	0	0.76753556728363	0	0	1.02338075637817	0	0	0	0	0	0	0	0	0	RF	Wet
3	vb_december	12	T.germaini	3074.7822265625	6.14357900619506	17.3280429840087	186.355239868164	125.234489440917	1.57527661323547	2.67797040939331	544.258117675781	10.3968257904052	20.1635398864746	168.869659423828	5.35594081878662	613.885314941406	10.7118816375732	110.26936340332	434.776336669921	138.781875610351	59.0728721618652	0	5.19841289520263	177.061096191406	20.7936515808105	1.41774892807006	162.568542480468	0	11.6570472717285	20.3210678100585	28.8275623321533	28.5125083923339	8.66402149200439	0	1.26022136211395	11.3419914245605	0	0	4.88335752487182	0	0	0	23.314094543457	0	0	12.6022129058837	13.3898515701293	0	1.10269367694854	0	1.57527661323547	1.26022136211395	1.10269367694854	0	0	0	0	0.945165991783142	0	3.15055322647094	0	2.20538735389709	0	0	0	1.10269367694854	0	0	0	0	1.41774892807006	0.945165991783142	0	0	0	1.10269367694854	0.945165991783142	0	2.04785966873168	0	0	0	0	0	0	0	0	0	0	0.945165991783142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RF	Dry
4	vb_february	2	T.germaini	3251.62548828125	8.77688217163086	14.2101898193359	241.991165161132	130.817321777343	2.08973383903503	2.50768041610717	183.896560668945	7.10509490966796	17.135814666748	116.607131958007	7.94098854064941	664.953247070312	13.3742961883544	129.98143005371	417.11083984375	146.281372070312	68.1253204345703	0	5.01536083221435	137.922424316406	9.61277484893798	1.25384020805358	216.914367675781	0	5.43330764770507	17.5537643432617	33.0177917480468	62.6920089721679	5.8512544631958	1.25384020805358	0.417946755886077	15.046082496643	0	0	5.43330764770507	0	0	0	22.9870700836181	0	0	14.6281356811523	18.3896560668945	0	0.417946755886077	0.417946755886077	1.67178702354431	1.25384020805358	1.67178702354431	0.417946755886077	0	0	0	1.25384020805358	0	4.17946720123291	0	1.25384020805358	0	0.417946755886077	0	0	0	0	0	0	1.25384020805358	1.67178702354431	0	0	0	1.25384020805358	0.835893511772155	0	1.67178702354431	0	0	0	0	0	0	0	0	0	0	0	0.835893511772155	0	0.417946755886077	0	0	0	0	0	0	0	0	0	0	0	0	RF	Dry
5	vb_january	1	T.germaini	3489.26000976562	7.46586036682128	13.5157814025878	279.454895019531	121.255874633789	2.83187818527221	3.60420846939086	163.090423583984	9.26796436309814	15.4466085433959	98.600845336914	5.92119979858398	564.573486328125	15.4466085433959	111.344299316406	364.539978027343	129.10789489746	68.2225189208984	0.772330403327941	5.40631294250488	121.384590148925	8.75307846069336	1.28721737861633	148.802322387695	0	9.26796436309814	15.0604429244995	25.7443466186523	31.5368251800537	8.88179969787597	0.901052117347717	1.67338252067565	13.5157823562622	0	0	4.37653923034668	0	0	0	21.6252517700195	0	0	15.8327732086181	14.674277305603	0	2.44571280479431	0	1.02977383136749	1.02977383136749	1.15849554538726	0	0	0	0	1.02977383136749	0	2.83187818527221	0	2.83187818527221	0	0	0	0	0	0	0	0	1.54466080665588	1.54466080665588	0	0	0	1.4159390926361	2.05954766273498	0	1.02977383136749	0	0	0	0	0	0	0	0	0	0	0	0.643608689308166	0	0	0	0	0.643608689308166	0	0	0	0	0	0	0	0	0	RF	Dry
6	vb_july	7	T.germaini	3184.76586914062	3.58303356170654	15.4346046447753	181.35659790039	145.526275634765	1.65370774269104	3.58303356170654	197.342468261718	7.99292087554931	19.2932567596435	120.16943359375	8.54415607452392	735.348693847656	17.0883140563964	121.54751586914	442.36685180664	146.077514648437	68.07763671875	0	3.858651638031	150.211791992187	9.37101078033447	1.10247182846069	191.003234863281	0	7.16606712341308	22.0494365692138	29.7667407989501	27.2861766815185	6.61483097076416	0.551235914230346	3.03179764747619	16.2614593505859	0	0	7.71730327606201	0	0	0	25.0812339782714	0	0	14.0565156936645	20.6713466644287	0	0.82685387134552	0	1.10247182846069	1.37808978557586	1.37808978557586	0	0	0	0	0.551235914230346	0	3.30741548538208	0	3.03179740905761	0	0	0	0.82685387134552	0	0	0	0	0.82685387134552	1.10247182846069	0	0	0	1.92932569980621	0	0	2.20494365692138	0	0	0	0	0	0	0	0	0	0	0	1.37808978557586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RF	Wet
7	vb_june	6	T.germaini	3185.93115234375	3.99489784240722	14.7311859130859	186.761474609375	147.811203002929	1.74776780605316	2.74649238586425	191.505416870117	7.24075269699096	16.4789543151855	120.346298217773	9.23820114135742	709.59375	15.7299108505249	127.087692260742	455.917755126953	160.295288085937	62.9196434020996	0	5.99234724044799	144.815048217773	10.2369260787963	0.499362230300903	183.515625	0	6.99107122421264	16.7286357879638	35.9540863037109	30.2114162445068	7.2407522201538	0.749043345451355	1.74776780605316	12.7337369918823	0	0	6.74139022827148	0	0	0	26.9655609130859	0	0	17.4776782989501	16.9783153533935	0	0.749043345451355	0	1.99744892120361	0.749043345451355	0.749043345451355	0	0	0	0	0	0	3.74521684646606	0	3.74521684646606	0	0	0	0	0	0	0	0	1.49808669090271	1.49808669090271	0	0	0	1.49808669090271	0.998724460601806	0	1.99744892120361	0	0	0	0	0	0	0	0	0	0	0	0.998724460601806	0	0.499362230300903	0	0	0.499362230300903	0	0	0	0	0	0	0	0	0	RF	Wet
8	vb_march	3	T.germaini	3943.51538085937	6.97005081176757	8.3640604019165	145.395248413085	1.11520814895629	2.09101510047912	1.67281210422515	2.23041629791259	4.32143115997314	0	469.78140258789	1.81221318244934	509.092529296875	3.90322828292846	177.17869567871	42.3779106140136	319.088928222656	9.47926902770996	0	2.92742109298706	23.0011672973632	2.23041629791259	0.975807070732116	418.481842041015	0	0	38.6140823364257	5.57604026794433	203.66487121582	35.4078559875488	0	0	0.697005093097686	0	0	0	0	0	0	5.01843643188476	28.4378070831298	0	4.18203020095825	68.1670989990234	0	0	0	0	0.975807070732116	5.4366397857666	0	0	0	0	0	0	0	0	7.52765464782714	0	0	0	0	0	0	0	0	6.97005081176757	0	0	0	0	0	4.32143115997314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11520814895629	0	RF	Dry
9	vb_may	5	T.germaini	3196.08056640625	3.8978567123413	17.053123474121	164.522033691406	141.946945190429	2.11133909225463	5.52196359634399	190.994979858398	8.60776710510253	15.2666053771972	113.200256347656	7.79571342468261	662.310791015625	17.540355682373	162.89793395996	429.738708496093	142.271774291992	97.9336471557617	0	4.87232112884521	149.093017578125	10.8815155029296	2.27374958992004	171.505706787109	0	7.14607048034668	21.600622177124	31.0204429626464	31.0204429626464	9.58223056793212	0.649642765522003	1.78651762008667	16.5658912658691	0	0	6.17160606384277	0	0	0	29.0715141296386	0	0	15.5914268493652	16.4034805297851	0	1.78651762008667	0	1.299285531044	2.11133909225463	1.13687491416931	0	0	0	0	0.649642765522003	0	5.35955286026001	0	2.4361605644226	0	0	0	0	0	0	0	0	1.78651762008667	1.13687491416931	0	0	0	2.11133909225463	1.299285531044	0	1.13687491416931	0	0	0	0	0	0	0	0	0	0	0	0.649642765522003	0	0.649642765522003	0	0	0	0	0	0	0	0	0	0	0	0	RF	Dry
10	vb_november	11	T.germaini	3075.8876953125	3.40794920921325	15.9747619628906	409.592895507812	129.502075195312	2.12996816635131	4.04693984985351	192.975128173828	10.6498403549194	15.548768043518	121.834182739257	7.88088226318359	656.030212402343	12.5668125152587	136.743957519531	400.008026123046	140.577911376953	73.483901977539	0	5.32492065429687	135.678985595703	8.94586658477783	1.06498408317565	169.758468627929	0	5.96391105651855	20.0217018127441	31.9495239257812	30.6715450286865	7.66788578033447	1.06498408317565	1.06498408317565	15.9747619628906	0	0	6.81589889526367	0	0.638990461826324	0	24.9206295013427	0	0	15.9747619628906	17.6787357330322	0	20.6606922149658	0	1.91697144508361	4.47293329238891	0.638990461826324	0	0	0	0	0.638990461826324	0	4.25993633270263	0	2.55596184730529	0	0	0	0	0	0	0	0	1.06498408317565	0.851987302303314	0	0	0.851987302303314	1.49097776412963	1.49097776412963	0	1.49097776412963	0	0	0	0	0	0	0	0	0	0	0	0.638990461826324	0	0.851987302303314	0	0	0	0	0	0	0	0	0	0	0	0	RF	Dry
