species	month	Ficus	Sideroxylon	Phanera	Celtis	Dalbergia	Ipomoea	Thunbergia	Terminalia	Brachychiton	Sarcosperma	Prunus	Pinguicula	Leptopus	Triticum	Psydrax	Avicennia	Boehmeria	Broussonetia	Jasminum	Morus	Secamone	Premna	Urobotrya	Tetrastigma	Malva	Macrothamnium	Lepisanthes	Gynochthodes	Ixora	Elaeocarpus	Sapindus	Cucumis	Paederia	Symplocos	Claoxylon	Acer	Albizia	Pteris	Millettia	Cyclea	Combretum	Codiaeum	Causonis	Iodes	Zea	Phyllostachys	Strychnos	Camellia	Berchemia	Urtica	Cinnamomum	Platanus	Nicotiana	Salix	Diospyros	Micrechites	Mussaenda	Vitex	Momordica	Juglans	Fremontodendron	Pueraria	Litsea	Humulus	Phyllanthus	unclassified.Apocynaceae	Trichosanthes	Citrus	Eurya	Alseodaphnopsis	Uncaria	Alnus	Solanum	Maclura	Populus	Flueggea	Salacia	Malus	Pluchea	Jacobaea	Erycibe	Ilex	Rosa	Celosia	Aidia	Cynanchum	Triadica	Cryptocarya	Glycosmis	Rauvolfia	Quercus	Callerya	Melicope	Pittosporum	Pinus	Beilschmiedia	Ziziphus	Sabia	Stilbaceae	Sarcolobus	Celastrus	Mallotus	Fraxinus	Cardiospermum	Tephrosia	Clematis	Mammillaria	Englerina	Macaranga	Cucurbita	Tapiphyllum	Bidens	Diploclisia	Manuleeae	Aruncus	Aphananthe	Acalypha	Styrax	Mucuna	Vincetoxicum	Spiraea	Hyacintheae	Murraya	Trichilia	Lolium	Brassica	Zelkova	Dioon	Luffa	Zanthoxylum	Poranthera	Lithocarpus	Capparis	Oryza	Anamirta	Hoya	Vernonia	Laportea	Betula	Melissa	Boswellia	Tamarindus	Mitchella	Stapeliinae	Acacia	Picea	Periplocoideae	Andrachne	Primula	Anacardium	Lactuca	Daucus	Schisandraceae	Aetanthus	Ligustrum	Tinomiscium	Achyranthes	Euphorbia	Fagus	Tashiroea	Mangifera	Apeibeae	Setaria	Grewia	Callistemon	Eutrochium	Cycas	Phragmanthera	Tiliacora	Avena	Pistacia	Veronica	Rafnia	Embelia	Alyxia	Taxus	Clerodendrum	Leucadendron	Galium	Actephila	Manilkara	Capsicum	Smilax	Campsis	Gardneria	Persicaria	Actinidia	Begonia	Musa	Sidalcea	Daphne	Agrostis	Fissistigma	Calceolaria	Colurieae	Arachis	Neisosperma	Inulinae	Justicia	Podalyrieae	Antidesma	Stipeae	Impatiens	Salvia	Olea	Garcinia	Amyema	Stauntonia	Chlorococcum	Desmodieae	Potaninia	Afrocanthium	Caprifoliaceae	Exacum	Oxystelma	Alseodaphne	Ericaceae	Capsella	Plectocomia	Notoleptopus	Arecinae	Filicium	Hypericaceae	Handeliodendron	Phillyrea	Glechoma	Osyris	Phytolacca	Hylocomium
13	T.delacouri	Feb-19	2161.786865	595.1918335	0.892341614	107.7948685	51.57734299	77.81218719	3.390897989	5.354049683	4.818644524	119.9307098	221.6576538	1.249278188	0	0	0	0.892341614	228.2609711	15.70521164	23.37934875	1.784683228	33.90898132	36.58600616	1.427746534	8.923416138	1.427746534	0	0	285.5493164	0	0	0	0.53540498	119.0383682	0	0	0	0	0.713873267	1.606214881	19.4530468	1.249278188	0	0	5.175581455	0	0	0	0	31.94582939	0	308.7501831	0	21.41619873	0.892341614	0	0	9.637289047	105.2963104	5.889454842	0	0	24.09322357	8.209542274	0	0	0	10.88656712	0	0	0	0	62.10697556	0	0	0	0	0.892341614	0	0	0	0	0	0	1.427746534	3.033961296	0	0	0.892341614	50.86347198	11.06503582	5.889454365	0	0	98.51451111	3.747834682	0	0	62.10697556	0	0	0	0	0	2.141619921	0	8.388010979	1.963151455	0	0	0	0	0	1.427746534	0	39.08456039	0	0	0	0	0	0	9.280352592	0	0	0.713873267	0	0	0	0	21.59466553	0	0	2.320088148	0	6.246391296	1.963151455	0	0	0.53540498	0	0	0	0	0	0	0	0	0	19.98845291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92630291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07080996	0	0	0	0	0	0	0	0	0	1.427746534	1.07080996	0	0	0	0	1.784683228	0	0	0	2.320088148	0	0	0	0	0	0	0	0.53540498	0	1.249278188	0	0
14	T.delacouri	Mar-19	986.9367676	1540.217651	3.421348333	227.3974609	6.476123333	130.6221924	83.70084381	1.710674047	386.8567505	372.3160095	431.334259	0	1.466292143	0	0	0	63.29494476	20.89466286	10.99719048	10.01966286	4.276685238	76.85814667	0.733146071	7.942415714	123.168541	0	0	56.81882095	0	46.92134857	0.61095506	3.543539286	54.86376572	0	2.56601119	12.70786476	6.598314762	0	15.51825809	18.57303429	0	0	0.733146071	3.054775238	0	0	0	0	14.66292095	0	31.64747238	0	15.76264	8.308988571	4.887640476	0	1.466292143	48.02106857	57.18539429	0	0.977528095	15.39606762	21.01685333	0	0	0	25.90449524	0	0	0	0	6.842696667	0	2.932584286	0.855337083	0	1.832865119	0	0	2.56601119	0.855337083	0	0	28.10393333	3.299157381	0	2.688202143	0	5.254213333	13.19662952	12.46348286	0	0	9.897472382	0	0	0	12.95224762	0	0	0	1.95505619	0	2.443820238	0	9.897472382	0	0	0.733146071	0.855337083	0	6.353932381	3.299157381	0	7.453651905	8.43118	10.38623619	0	0.977528095	0.977528095	1.832865119	4.39887619	0	6.109550476	0	0	0	0	0	1.710674167	4.521067619	0	1.588483095	1.588483095	3.17696619	0	0	0	0	0	0	0	5.132022381	0	3.543539286	0.61095506	0	0	0	0	1.344101071	0	0	0	0	0	0	0	0	0	0	0.61095506	0	0	1.832865119	0	0	0	0.855337083	0	0	2.443820238	0	2.321629286	0	0	1.95505619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61095506	0	0	0	0.61095506	0	0	0	0	0	0	0.61095506	0	0	0	0	0	0	0.61095506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	T.delacouri	Apr-19	984.5744019	1518.797119	2.734928846	224.4160919	5.621798038	136.4425659	84.63085175	2.886869431	378.7876587	382.7380981	433.6381531	0	0.911642969	0	0	0	60.32037354	20.9677887	10.1800127	12.6110611	2.431047916	78.8571167	0	6.837322235	125.3509064	0	0.911642969	61.38395691	0	43.91080093	0.759702444	3.798512459	55.30633926	0	3.038809776	12.15523911	5.925679207	1.215523958	14.5862875	19.60032272	0	0	0	2.886869431	0	0	0	0	10.48389435	0.607761979	31.90750313	0	14.13046551	7.445084095	5.469857693	0	1.823285937	49.98842239	56.36991882	0	0.911642969	17.32121658	25.07018089	0	0	0	25.67794228	0	0	0	0	5.925679207	0	2.886869431	0.759702444	0	3.19075036	0	0	1.823285937	0	0	0	27.04540825	3.342690706	0	1.975226402	0	6.077619553	14.13046551	12.91494179	0	0	8.964488983	0	0	0	9.42031002	0	0	0.607761979	1.519404888	0	3.038809776	0	11.39553642	0	0	0.759702444	0.607761979	0	5.925679207	3.950452805	0	6.229560375	7.293143749	8.964488983	0	1.063583493	1.519404888	2.127166986	3.49463129	0	4.558214664	0	0.911642969	0	0	0	1.367464423	6.533441067	0	1.823285937	1.367464423	1.975226402	0.759702444	0	0	0	0	0	0	3.342690706	0	3.19075036	1.063583493	0	0	0.607761979	0	1.823285937	0	0	0	0	0	0	0	0	0	0	0.607761979	0	0	1.671345353	0	0	0	1.519404888	0	0	1.823285937	0	1.519404888	0	0	1.671345353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607761979	0	0	0	0	0	0	0	0	0	0	0.607761979	0	0	0	0	0	0	1.215523958	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	T.delacouri	May-19	977.9301758	1528.196899	3.44778657	222.0374451	5.792281151	126.8785477	82.19523621	2.068671942	380.7735596	391.8064575	429.3183899	0	1.10329175	0	0	0	57.92281342	17.10102081	10.48127174	11.30873966	3.999432564	76.4029541	0	8.274687767	126.3269043	0	0.689557314	60.95686722	0	47.44154358	0	3.861521006	59.9914856	0	2.620317936	14.75652695	6.895573139	0.827468753	17.23893356	18.89387131	0	0	0	3.44778657	0	0	0	0	14.20488071	0.689557314	29.78887558	0	12.27412033	9.791713715	4.826901436	0	1.517026067	50.47559738	62.19806671	0	0.827468812	15.17026138	22.89330292	0	0	0	26.34108925	0	0	0	0	7.171396255	0	2.896140814	0	0	2.620317936	0	0	2.896140814	0	0	0	28.82349586	3.585698128	0	2.34449482	0	5.378547192	14.89443779	12.13620853	0	0	8.826334	0	0	0	14.20488071	0	0	0	1.241203189	0	2.2065835	0	10.89500523	0	0	0.965380251	0.827468812	0	6.895573139	3.171963692	0	7.171396255	8.274687767	10.89500523	0	1.10329175	1.241203189	2.34449482	4.55107832	0	5.102724075	0	1.10329175	0	0	0	1.517026067	4.55107832	0	1.241203189	1.654937625	3.30987525	0	0	0	0	0	0	0	3.585698128	0	4.275255203	0.689557314	0	0	0	0	1.930760503	0	0	0	0	0	0	0	0	0	0	0	0	0	1.517026067	0	0	0	2.34449482	0	0	2.068671942	0	1.792849064	0	0	1.654937506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.379114628	0	0	0	0	0	0	0	0	0	0	0	0.689557314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	T.delacouri	Jun-19	973.9313965	1523.003296	2.800547123	232.1159363	6.012939453	135.9088898	88.05249023	2.553440094	391.1705322	389.7702637	427.3305359	0.658952236	1.482642531	0	0	0	55.51672745	19.02724648	11.20218849	13.83799744	4.118451595	74.2144928	1.565011621	7.001367569	130.9667511	0	0	59.38806915	0	40.52556229	0.658952236	4.036082268	54.61066818	0	3.130023241	13.01430702	4.777403831	0.988428354	15.81485367	18.78013802	0	0	0.823690295	2.388701916	0	0	0	0	13.83799744	0	30.14706421	0	12.02587795	9.225331306	3.459499359	0	2.059225798	48.84483337	52.55144119	0	1.153166413	14.41458035	22.89859009	0	0	0	25.53439903	0	0	0	0	5.765831947	0	3.212392092	0.658952236	0	3.294761181	0	0	2.141594887	0.658952236	0	0	27.84073257	3.37713027	0	2.635808945	0	4.036082268	13.50852013	11.03744984	0	0	9.142962456	0	0	0	11.9435091	0	0	0	2.141594887	0	2.800547123	0	10.37849808	0	0	0.906059325	0	0	5.271617889	3.706606388	0	6.836629391	6.012938976	11.03744984	0	0	1.317904472	1.235535502	4.036082268	0	6.507153511	0	0	0	0	0	2.223963737	4.530296803	0	1.976856709	0.658952236	3.130023241	0.658952236	0	0	0	0	0	0	3.624237299	0	2.882915974	0.741321266	0	0	0.658952236	0	0.823690295	0	0	0	0	0	0	0	0	0	0	0	0	0	1.317904472	0	0	0	2.059225798	0	0	1.64738059	0	1.400273561	0	0	1.400273561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658952236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	T.delacouri	Jul-19	989.0814209	1527.821655	3.541015387	232.4423676	5.817382336	133.4203949	87.26073456	2.149902105	399.8818054	383.9472351	418.4721375	0	0.885253847	0	0	0	55.01220322	19.85497856	8.473143578	11.88769436	4.552733898	71.45262909	1.391113162	8.346678734	127.6030197	0	0	61.84130478	0	39.83642197	0	2.782226324	54.88573837	0	3.161620855	11.76122952	5.437987804	1.138183475	16.31396294	19.0961895	0	0	0	2.65576148	0	0	0	0	13.40527248	0	32.50146103	0	12.39355373	8.726073265	4.299804211	0	1.517578006	48.68896103	54.25341415	0	0	15.55517483	20.36083794	0	0	0	22.63720512	0.632324159	0	0	0	5.437987804	0	3.793945074	0	0	3.161620855	0	0	2.529296637	0	0	0	26.93700981	4.046874523	0	1.770507693	0	4.552733898	12.14062405	13.02587795	0	0	12.14062405	0	0	0	12.0141592	1.011718631	0	0.632324159	1.896972537	0	2.023437262	0	9.484862328	0	0	0	0	0	5.817382336	3.035156012	0	5.943847179	7.967284679	10.74951077	0	0	1.011718631	1.896972537	4.426269054	0	6.070312023	0	0	0	0	0	1.517578006	4.299804211	0	2.023437262	0	2.529296637	0	0	0	0	0	0	0	4.173339367	0	2.529296637	1.011718631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.896972537	0	0	0	1.391113162	0	0	1.264648318	0	1.391113162	0	0	1.517578006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758789003	0	0	0	0	0	0	0	0	0	0	0.632324159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	T.delacouri	Aug-19	973.861145	1540.938721	3.257060766	225.3188171	6.863092422	129.7008209	84.21828461	2.559119225	380.2618408	375.0272827	437.842041	0	0	0	0	1.163236022	61.65150833	20.00765991	9.887506485	10.58544731	4.187649727	75.72666168	0	9.422211647	128.1886139	0	0.814265192	56.18429947	0	46.99473572	0	3.140737057	56.76591492	0	3.373384476	11.51603603	5.467209339	1.744853973	13.72618484	20.35663033	0	0	0	3.140737295	0	0	0	0	12.44662476	1.279559612	29.42987061	0	13.02824306	7.677357674	4.071325779	0	1.512206793	48.73958969	58.85974121	0	0.930588782	17.91383362	23.14839745	0	0	0	26.28913307	0	0	0	0	5.58353281	0	2.791766405	0.814265192	0	2.326472044	0	0	2.442795515	0	0	0	28.73192978	3.024413586	0	2.326472044	0	4.88559103	14.3078022	11.39971256	0	0	10.2364769	0	0	0	11.6323595	0	0	0.697941601	1.861177564	0	2.442795515	0	10.81809521	0	0	1.046912432	1.163236022	0	5.699856281	2.791766405	0	6.863092422	6.863092422	10.93441868	0	0	1.512206793	2.442795515	3.838678837	0	4.187649727	0	1.395883203	0	0	0	1.628530383	4.652944088	0	1.512206793	1.395883203	3.373384476	0.697941601	0	0	0	0	0	0	4.88559103	0	3.838678837	0.930588782	0	0	0	0	1.744853973	0	0	0	0	0	0	0	0	0	0	0	0	0	1.512206793	0	0	0	1.744853973	0	0	1.512206793	0	1.628530383	0	0	0.814265192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814265192	0	0	0	0.814265192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	T.delacouri	Sep-19	976.0866089	1526.235352	2.346765041	229.6477203	6.705042839	131.7540894	84.81879425	1.341008544	390.401123	387.048584	448.5673523	0	0.670504272	0	0	0	54.98134995	20.95325851	10.72806835	11.23094654	2.84964323	71.74395752	0.670504272	7.207921028	127.8986893	0	0	56.32235718	0	45.09141159	0	3.687773466	53.30509186	0	2.514390945	12.90720749	5.196408272	0.670504272	16.76260757	17.43311119	0	0	0.670504272	2.682017088	0	0	0	0	14.24821568	0.670504272	32.1842041	0	11.73382473	8.046051025	4.358277798	0	1.67626071	46.93529892	56.9928627	0.670504272	0.838130355	17.43311119	20.95325851	0	0	0	28.66405869	0	0	0	0	5.196408272	0	3.855399609	0.838130355	0	3.184895277	0	0	2.346765041	0.670504272	0	0	29.16693687	2.346765041	0	1.508634686	0	3.184895277	12.90720749	8.716555595	0	0	12.06907749	0	0	0	13.2424593	0.670504272	0	0	2.346765041	0	2.682017088	0	8.716555595	0	0	0.838130355	1.173382521	0	7.040295124	2.682017088	0	7.710799217	7.375546932	9.051807404	0	0.838130355	2.179138899	1.843886733	3.184895277	0	4.190651894	0	0	0	0	0	2.346765041	5.364034176	0	1.67626071	0.670504272	4.190651894	0.670504272	0	0	0	0	0	0	4.861155987	0	2.682017088	0.670504272	0	0	0	0	1.843886733	0	0	0	0	0	0	0	0	0	0	0.670504272	0	0	1.341008544	0	0	0	2.179138899	0	0	1.843886733	0	1.508634686	0	0	0.670504272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.173382521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	T.delacouri	Oct-19	983.9226074	1558.958252	3.91513586	220.2263947	7.340880394	130.4229584	78.79211426	2.202263832	385.8855896	368.7568665	432.867218	0	1.223479986	0	0	0.489391983	52.85433578	18.35219955	10.27723122	10.03253555	4.404528141	81.48376465	0.489391983	5.628007889	127.731308	0	0	55.79068756	0	45.51345444	0	2.202264071	54.56720734	0.489391983	2.446959972	12.479496	6.362095833	0.489391983	12.72419167	22.51203156	0	0	1.223479986	3.91513586	0	0	0	0	13.70297623	0.734088004	33.03395844	0	13.70297623	6.851488113	4.649223804	0	0.978783965	49.91798401	62.88687134	0.489391983	1.223479986	17.86280823	24.46960068	0	0	0	26.18247223	0	0	0	0	8.074968338	0	2.936352015	1.223479986	0	1.95756793	0	0.489391983	2.936352015	0.489391983	0	0	31.81048012	3.425744057	0	1.468176007	0	6.117399693	8.809056282	9.298447609	0	0	10.27723217	0	0	0	11.50071144	0	0	0	2.202263832	0	3.181047916	0	12.23479939	0	0	0.489391983	1.223479986	0	6.851488113	4.649223804	0	8.564359665	6.606791973	8.564359665	0	0.978783965	1.223479986	2.691655874	4.404528141	0	4.159832001	0	0.978783965	0	0	0	2.202264071	4.893919945	0	2.446959972	1.95756793	3.181047916	0.489391983	0	0	0	0	0	0	4.159832001	0	2.936352015	0.734088004	0.489391983	0	0.734088004	0	2.202264071	0	0	0	0	0	0	0	0	0	0	0.489391983	0	0	1.223479986	0	0	0	0.734088004	0	0	1.712872028	0	1.468176007	0	0	1.95756793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978783965	0	0	0	0.978783965	0	0	0	0.489391983	0	0	0.489391983	0	0.734088004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	T.delacouri	Nov-19	978.5844727	1532.966675	4.170527458	234.14534	8.043160439	147.1600494	77.45265198	3.276843071	369.0916748	370.8790588	453.0980225	0.893684506	1.489474177	0	0	0	62.85580826	21.74632263	11.02210808	12.80947781	3.872632742	73.58002472	0	8.043160439	118.5621414	0	0.595789671	58.38738632	0	47.36527634	0.595789671	2.085263729	53.02528	0	3.276843071	11.32000351	5.660001755	0.595789671	18.46947861	14.89474106	0.595789671	0	0.893684506	4.170527458	0	0	0	0	13.10737228	0.893684506	29.49158669	0	13.10737228	5.660001755	3.574738026	0	1.191579342	53.62106705	60.77054596	0	2.383158684	14.59684658	24.42737579	0	0	0	26.21474457	0.893684506	0	0	0	5.957896709	0	2.383158684	0.893684506	0	2.978948355	0	0	2.978948355	0.595789671	0	0	37.8326416	2.085263729	0	1.489474177	0	4.766317368	14.59684658	9.532634735	0	0	8.638950348	0.893684506	0	0.595789671	10.12842369	0	0	0	1.489474177	0	4.468422413	0	9.830529213	0	0	1.489474177	1.191579342	0	6.553686142	2.6810534	0	5.957896709	7.149476051	9.830529213	0	0.893684506	1.191579342	1.787369013	3.872632742	0	4.468422413	0	0.595789671	0	0.595789671	0	1.489474177	5.064211845	0	1.489474177	1.787369013	2.978948355	0	0	0	0	0	0	0	4.766317368	0	3.574738026	0.893684506	0	0	0	0	1.787369013	0	0	0.595789671	0	0.595789671	0	0	0	0	0	0	0	0	3.276843071	0	0	0	1.787369013	0	0	1.489474177	0	0.893684506	0	0	0.893684506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.191579342	0	0	0	0.595789671	0	0	0.893684506	0	1.191579342	0	0	0	0	0.595789671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
